x,y,flux(W/m2)
-1.96,3.32,0.00861447
-1.88,3.32,0.0130381
-1.8,3.32,0.011874
-1.72,3.32,0.00861449
-1.64,3.32,0.0128053
-1.56,3.32,0.00838167
-1.48,3.32,0.0109427
-1.4,3.32,0.0125725
-1.32,3.32,0.0128053
-1.24,3.32,0.0111756
-1.16,3.32,0.0116412
-1.08,3.32,0.0114084
-1,3.32,0.00954583
-0.92,3.32,0.0139695
-0.84,3.32,0.0176947
-0.76,3.32,0.0137367
-0.68,3.32,0.0155993
-0.6,3.32,0.0118741
-0.52,3.32,0.0125726
-0.44,3.32,0.0125726
-0.36,3.32,0.0167634
-0.28,3.32,0.0102443
-0.2,3.32,0.014668
-0.12,3.32,0.0123397
-0.04,3.32,0.0144352
0.04,3.32,0.0144352
0.12,3.32,0.0153665
0.2,3.32,0.0149008
0.28,3.32,0.013271
0.36,3.32,0.0155993
0.44,3.32,0.0162978
0.52,3.32,0.014668
0.6,3.32,0.0158321
0.68,3.32,0.0130382
0.76,3.32,0.0149008
0.84,3.32,0.0144352
0.92,3.32,0.0137367
1,3.32,0.0114084
1.08,3.32,0.0135038
1.16,3.32,0.014668
1.24,3.32,0.0142023
1.32,3.32,0.00884734
1.4,3.32,0.0123397
1.48,3.32,0.0109427
1.56,3.32,0.0121069
1.64,3.32,0.00838167
1.72,3.32,0.0135038
1.8,3.32,0.00838166
1.88,3.32,0.0155992
1.96,3.32,0.00931294
2.04,3.32,0.0100114
2.12,3.32,0.00954576
2.2,3.32,0.00931293
2.28,3.32,0.011874
2.36,3.32,0.00908009
2.44,3.32,0.0102442
2.52,3.32,0.0107098
2.6,3.32,0.010477
2.68,3.32,0.00861442
2.76,3.32,0.00791594
2.84,3.32,0.0114083
2.92,3.32,0.00698464
3,3.32,0.00372514
3.08,3.32,0.00745027
3.16,3.32,0.0067518
3.24,3.32,0.00675179
3.32,3.32,0.00558768
3.4,3.32,0.00628614
3.48,3.32,0.00558767
3.56,3.32,0.00698458
